Date,First Dose Daily Avg,Second Dose Daily Avg
2022-02-02,-162731.57142857142,182924.57142857142
2022-02-01,-157918.14285714287,181726.2857142857
2022-01-31,-133522.85714285713,194131.7142857143
2022-01-30,-124447.14285714286,191017.57142857142
2022-01-29,-124732.85714285714,186234.7142857143
2022-01-28,-112604,188864.57142857142
2022-01-27,-108683.42857142857,188496.14285714287
2022-01-26,259310.7142857143,191559.2857142857
2022-01-25,270882.85714285716,195671.57142857142
2022-01-24,255088.42857142858,178880
2022-01-23,252840.85714285713,174994.85714285713
2022-01-22,265857,176306.85714285713
2022-01-21,274815,175700.57142857142
2022-01-20,291630,182530.85714285713
2022-01-19,286727.71428571426,189520
2022-01-18,296066.28571428574,194023.57142857142
2022-01-17,303921.5714285714,201638.2857142857
2022-01-16,311539.28571428574,210139
2022-01-15,322801.28571428574,220427.14285714287
2022-01-14,326875.4285714286,223125.57142857142
2022-01-13,333386.71428571426,221197.14285714287
2022-01-12,345403.5714285714,197836.85714285713
2022-01-11,339104.28571428574,196135.14285714287
2022-01-10,363880.14285714284,210832.57142857142
2022-01-09,376377.85714285716,214791
2022-01-08,324218.4285714286,184844.85714285713
2022-01-07,295123.71428571426,167202.7142857143
2022-01-06,303707.71428571426,172160
2022-01-05,299371,165641.7142857143
2022-01-04,304845.5714285714,165844.85714285713
2022-01-03,295797.4285714286,160504.85714285713
2022-01-02,277478.71428571426,153327.14285714287
2022-01-01,287668,157672.57142857142
2021-12-31,287156.5714285714,156143.2857142857
2021-12-30,286714.71428571426,153010.42857142858
2021-12-29,228411.42857142858,117084.28571428571
2021-12-28,240155.14285714287,120288.57142857143
2021-12-27,78844,156855.85714285713
2021-12-26,94979.85714285714,165537.85714285713
2021-12-25,137012.85714285713,189625.7142857143
2021-12-24,171282.2857142857,212479.2857142857
2021-12-23,171362.7142857143,225856.2857142857
2021-12-22,229768,281833
2021-12-21,225476,296384
2021-12-20,372436.5714285714,264612
2021-12-19,366131.14285714284,278749.14285714284
2021-12-18,360831.5714285714,291270.85714285716
2021-12-17,376045.14285714284,314232
2021-12-16,407471,348848.5714285714
